Prices,Date
1.014356632,6/27/18
1.010712825,6/28/18
1.045403337,6/29/18
1.059616599,7/2/18
1.054147962,7/3/18
1.08028913,7/5/18
1.098040093,7/6/18
1.107159239,7/9/18
1.149104105,7/10/18
1.141047182,7/11/18
1.119903933,7/12/18
1.121598186,7/13/18
1.124826889,7/16/18
1.136115321,7/17/18
1.142651555,7/18/18
1.144056202,7/19/18
1.139824919,7/20/18
1.14052706,7/23/18
1.143613133,7/24/18
1.123066376,7/25/18
1.122574923,7/26/18
1.125336421,7/27/18
1.123533926,7/30/18
1.116860349,7/31/18
1.098601497,8/1/18
1.09555091,8/2/18
1.098889935,8/3/18
1.093959664,8/6/18
1.097504827,8/7/18
1.108501478,8/8/18
1.106126628,8/9/18
1.112730635,8/10/18
1.113129422,8/13/18
1.112819211,8/14/18
1.118136745,8/16/18
1.129617002,8/17/18
1.120813501,8/20/18
1.12022817,8/21/18
1.129196101,8/22/18
1.150968211,8/23/18
1.151964316,8/24/18
1.199918779,8/27/18
1.184322594,8/28/18
1.22975894,8/29/18
1.249965486,8/30/18
1.263745589,8/31/18
1.263652316,9/4/18
1.282776545,9/5/18
1.307412549,9/6/18
1.315311868,9/7/18
1.334350096,9/10/18
1.326108951,9/11/18
1.33487694,9/12/18
1.324677666,9/13/18
1.326379483,9/14/18
1.352924015,9/17/18
1.352798338,9/18/18
1.363736001,9/19/18
1.361092066,9/20/18
1.356831755,9/21/18
1.343606286,9/24/18
1.342104117,9/25/18
1.347532937,9/26/18
1.345443313,9/27/18
1.327396382,9/28/18
1.32951618,10/1/18
1.326465519,10/2/18
1.295724018,10/3/18
1.287439989,10/4/18
1.250038878,10/5/18
1.261412029,10/8/18
1.246105941,10/9/18
1.218161458,10/10/18
1.223436427,10/11/18
1.200880332,10/12/18
1.188944931,10/15/18
1.216132186,10/16/18
1.201519101,10/17/18
1.223606393,10/18/18
1.195817814,10/19/18
1.186093763,10/22/18
1.189387128,10/23/18
1.206265179,10/24/18
1.183834396,10/25/18
1.167053678,10/26/18
1.168839991,10/29/18
1.186490854,10/30/18
1.162934463,10/31/18
1.168306742,11/1/18
1.197339966,11/2/18
1.207528228,11/5/18
1.240774583,11/6/18
1.252323837,11/7/18
1.23297384,11/8/18
1.249229943,11/9/18
1.232055528,11/12/18
1.228709511,11/13/18
1.216366082,11/14/18
1.203848667,11/15/18
1.189804703,11/16/18
1.195063982,11/19/18
1.167478034,11/20/18
1.174953469,11/21/18
1.179675679,11/23/18
1.176359591,11/26/18
1.188759945,11/27/18
1.185669002,11/28/18
1.182744421,11/29/18
1.191810502,11/30/18
1.205433451,12/3/18
1.191279947,12/4/18
1.180242351,12/6/18
1.17428784,12/7/18
1.160555784,12/10/18
1.158427596,12/11/18
1.162438399,12/12/18
1.144378756,12/13/18
1.148265734,12/14/18
1.158976915,12/17/18
1.149691029,12/18/18
1.151975302,12/19/18
1.130726563,12/20/18
1.12716944,12/21/18
1.136795415,12/27/18
1.125427372,12/28/18
1.113403172,1/2/19
1.118952222,1/3/19
1.134251179,1/4/19
1.147353096,1/7/19
1.158052649,1/8/19
1.158123038,1/9/19
1.175837248,1/10/19
1.173559329,1/11/19
1.224542196,1/14/19
1.251184508,1/15/19
1.258109926,1/16/19
1.260504157,1/17/19
1.265419545,1/18/19
1.259980504,1/22/19
1.268374319,1/23/19
1.274885333,1/24/19
1.27280111,1/25/19
1.288100104,1/28/19
1.26610705,1/29/19
1.248471041,1/30/19
1.262370845,1/31/19
1.256605768,2/1/19
1.250073568,2/4/19
1.246518835,2/5/19
1.256579717,2/6/19
1.255359442,2/7/19
1.249306461,2/8/19
1.255599697,2/11/19
1.272181924,2/12/19
1.282206655,2/13/19
1.288810651,2/14/19
1.287600087,2/15/19
1.299553371,2/19/19
1.306839467,2/20/19
1.260397866,2/21/19
1.267618022,2/22/19
1.240369129,2/25/19
1.261721263,2/26/19
1.259550024,2/27/19
1.247711912,2/28/19
1.229328378,3/1/19
1.244508467,3/4/19
1.238156887,3/5/19
1.235883488,3/6/19
1.227910703,3/7/19
1.217162355,3/8/19
1.225517884,3/11/19
1.216369893,3/12/19
1.251129802,3/13/19
1.255139795,3/14/19
1.264918422,3/15/19
1.263879629,3/18/19
1.260141458,3/19/19
1.258710902,3/20/19
1.262317174,3/21/19
1.256385673,3/22/19
1.258299472,3/25/19
1.259981674,3/26/19
1.25391818,3/27/19
1.25966943,3/28/19
1.264094573,3/29/19
1.289410876,4/1/19
1.281894167,4/2/19
1.291584854,4/3/19
1.300243169,4/4/19
1.310394201,4/5/19
1.321789418,4/8/19
1.325588422,4/9/19
1.325071226,4/10/19
1.324635166,4/11/19
1.339086725,4/12/19
1.353551531,4/15/19
1.347770672,4/16/19
1.280729686,4/17/19
1.272460789,4/18/19
1.257613631,4/23/19
1.251194055,4/24/19
1.27439472,4/25/19
1.276656502,4/26/19
1.264970484,4/29/19
1.25831426,4/30/19
1.253090685,5/2/19
1.269320781,5/3/19
1.262600212,5/6/19
1.263970201,5/7/19
1.275543757,5/8/19
1.278288282,5/9/19
1.270944243,5/10/19
1.265289673,5/13/19
1.268846141,5/14/19
1.281467414,5/15/19
1.264057017,5/16/19
1.254177321,5/17/19
1.25214208,5/20/19
1.252650578,5/21/19
1.269915547,5/22/19
1.265857632,5/23/19
1.27268872,5/24/19
1.266184242,5/28/19
1.272576147,5/29/19
1.278437067,5/30/19
1.291529598,5/31/19
1.279266103,6/3/19
1.307516955,6/4/19
1.316292511,6/5/19
1.313380898,6/6/19
1.319114323,6/7/19
1.315913947,6/10/19
1.30131948,6/11/19
1.281008797,6/12/19
1.285265569,6/13/19
1.277354315,6/14/19
1.26845989,6/17/19
1.263668829,6/18/19
1.261269453,6/19/19
1.252129852,6/20/19
1.26352792,6/21/19
1.274495791,6/24/19
1.273954462,6/25/19
1.270586191,6/26/19
1.262204722,6/27/19
1.269251022,6/28/19
1.256118139,7/1/19
1.252900532,7/2/19
1.246794715,7/3/19
1.239090427,7/4/19
1.237875653,7/5/19
1.266028314,7/8/19
1.267604724,7/9/19
1.271199587,7/10/19
1.279826814,7/11/19
1.284106355,7/12/19
1.288528672,7/15/19
1.289837876,7/16/19
1.285735803,7/17/19
1.28566695,7/18/19
1.281599995,7/19/19
1.283416035,7/22/19
1.290340196,7/23/19
1.288865169,7/24/19
1.291297326,7/25/19
1.288209208,7/26/19
1.284387543,7/29/19
1.309200636,7/30/19
1.314374047,7/31/19
1.321177853,8/1/19
1.311317386,8/2/19
1.306528747,8/5/19
1.306335837,8/6/19
1.311601784,8/7/19
1.317814588,8/8/19
1.309581841,8/9/19
1.31131342,8/12/19
1.297767084,8/13/19
1.267620147,8/14/19
1.269507666,8/16/19
1.282608879,8/19/19
1.300075877,8/20/19
1.297263194,8/21/19
1.298597259,8/22/19
1.294920883,8/23/19
1.275097644,8/26/19
1.279027725,8/27/19
1.277584685,8/28/19
1.266085731,8/29/19
1.284106143,8/30/19
1.281483068,9/2/19
1.263730731,9/3/19
1.250338894,9/4/19
1.252815775,9/5/19
1.245771717,9/6/19
1.255799844,9/9/19
1.261616162,9/10/19
1.252198087,9/11/19
1.236103276,9/12/19
1.24737338,9/13/19
1.23873471,9/16/19
1.23287514,9/17/19
1.23731347,9/18/19
1.237910246,9/19/19
1.251477478,9/20/19
1.246271144,9/23/19
1.245525342,9/24/19
1.249371378,9/25/19
1.239729081,9/26/19
1.237828994,9/27/19
1.240506178,9/30/19
1.23549531,10/1/19
1.220370045,10/2/19
1.210120578,10/3/19
1.208138367,10/4/19
1.204769948,10/7/19
1.2062245,10/8/19
1.21625162,10/9/19
1.209639221,10/10/19
1.226099699,10/11/19
1.253699205,10/14/19
1.246975476,10/15/19
1.246996176,10/16/19
1.239403633,10/17/19
1.239252026,10/18/19
1.245995568,10/21/19
1.248359461,10/22/19
1.238208449,10/23/19
1.245332378,10/24/19
1.248387204,10/25/19
1.251884141,10/28/19
1.247276188,10/29/19
1.249902462,10/30/19
1.248564666,10/31/19
1.257780578,11/1/19
1.261700687,11/4/19
1.267489406,11/5/19
1.280065397,11/6/19
1.275307947,11/7/19
1.22336293,11/8/19
1.225788436,11/11/19
1.231212064,11/12/19
1.234728709,11/13/19
1.234921518,11/14/19
1.23604727,11/15/19
1.240079231,11/18/19
1.220626846,11/19/19
1.221693221,11/20/19
1.215752163,11/21/19
1.200404254,11/22/19
1.197935024,11/25/19
1.206554623,11/26/19
1.199849193,11/27/19
1.192917568,11/28/19
1.188504342,11/29/19
1.163033597,12/2/19
1.161298611,12/3/19
1.175083165,12/4/19
1.185359552,12/5/19
1.211880013,12/6/19
1.205822133,12/9/19
1.194894368,12/10/19
1.188873592,12/11/19
1.190299885,12/12/19
1.204087476,12/13/19
1.212989995,12/16/19
1.210949494,12/17/19
1.212329386,12/18/19
1.21591877,12/19/19
1.220881329,12/20/19
1.219082749,12/23/19
1.224330423,12/27/19
1.223264488,12/30/19
1.233716278,1/2/20
1.242001671,1/3/20
1.240968881,1/6/20
1.246467811,1/7/20
1.248962432,1/8/20
1.249726166,1/9/20
1.2500415,1/10/20
1.24737293,1/13/20
1.249688654,1/14/20
1.246488443,1/15/20
1.248462885,1/16/20
1.277074139,1/17/20
1.274763816,1/20/20
1.27226389,1/21/20
1.26536328,1/22/20
1.263024446,1/23/20
1.275346367,1/24/20
1.266034244,1/27/20
1.271646909,1/28/20
1.272645761,1/29/20
1.260763212,1/30/20
1.251355549,1/31/20
1.239649515,2/3/20
1.239620287,2/4/20
1.235302457,2/5/20
1.23809582,2/6/20
1.237976047,2/7/20
1.236374251,2/10/20
1.24409471,2/11/20
1.242879076,2/12/20
1.255465944,2/13/20
1.259833817,2/14/20
1.267295712,2/17/20
1.236057123,2/18/20
1.232208833,2/19/20
1.22736376,2/20/20
1.223256686,2/21/20
1.197755834,2/24/20
1.19295717,2/25/20
1.20688526,2/26/20
1.198460423,2/27/20
1.197016906,2/28/20
1.206862111,3/2/20
1.19666189,3/3/20
1.168110662,3/4/20
1.133412921,3/5/20
1.112121521,3/6/20
1.086207522,3/9/20
1.035636597,3/10/20
1.025061369,3/11/20
0.99471096,3/12/20
1.000598563,3/13/20
0.981221592,3/16/20
0.941785522,3/17/20
0.936102501,3/18/20
0.916475457,3/19/20
0.87222537,3/20/20
0.832634978,3/23/20
0.830915219,3/24/20
0.776056925,3/25/20
0.783802755,3/26/20
0.727186032,3/27/20
0.747019534,3/30/20
0.767840829,3/31/20
0.769597743,4/1/20
0.810872616,4/2/20
0.836826067,4/3/20
0.841082394,4/6/20
0.840955303,4/7/20
0.834848544,4/8/20
0.83250537,4/9/20
0.822504068,4/14/20
0.799925434,4/15/20
0.790806106,4/16/20
0.836934857,4/17/20
0.861254934,4/20/20
0.918696214,4/21/20
0.925453591,4/22/20
0.909429124,4/23/20
0.92400537,4/24/20
0.902657239,4/27/20
0.902498552,4/28/20
0.93884157,4/29/20
0.911495632,4/30/20
0.909114766,5/4/20
0.9615595,5/5/20
0.93453289,5/6/20
0.942087162,5/7/20
0.943756611,5/8/20
0.960845033,5/11/20
0.974625773,5/12/20
0.954376092,5/13/20
0.935094203,5/14/20
0.940137138,5/15/20
0.945168276,5/18/20
0.949105797,5/19/20
0.950589127,5/20/20
0.945655915,5/21/20
0.94451548,5/22/20
0.937076893,5/25/20
0.915562607,5/26/20
0.901102213,5/27/20
0.924174489,5/28/20
0.954043221,5/29/20
0.952629955,6/1/20
0.962103825,6/2/20
0.956177158,6/3/20
0.978077656,6/4/20
0.990623287,6/5/20
0.998734869,6/8/20
0.990167671,6/9/20
0.982538551,6/10/20
0.979472023,6/11/20
0.99285902,6/12/20
0.999248905,6/15/20
1.008912973,6/16/20
1.009349794,6/17/20
1.026448635,6/18/20
1.017683152,6/19/20
0.973208443,6/22/20
0.970857991,6/23/20
0.97658328,6/24/20
0.976445816,6/25/20
0.970604104,6/26/20
0.946806534,6/29/20
0.941506327,6/30/20
0.931481334,7/1/20
0.924666641,7/2/20
0.917605034,7/3/20
0.907889849,7/6/20
0.908060669,7/7/20
0.893682318,7/8/20
0.893744657,7/9/20
0.912975818,7/10/20
0.897851418,7/13/20
0.909964801,7/14/20
0.907175256,7/15/20
0.900098146,7/16/20
0.895528738,7/17/20
0.9020806,7/20/20
0.900327134,7/21/20
0.899154311,7/22/20
0.917699955,7/23/20
0.913900528,7/24/20
0.900782459,7/27/20
0.893516032,7/28/20
0.91207263,7/29/20
0.896762218,7/30/20
0.897787071,7/31/20
0.899344498,8/3/20
0.89451125,8/4/20
0.892269123,8/5/20
0.890430512,8/6/20
0.904806208,8/7/20
0.882855939,8/10/20
0.882596707,8/11/20
0.896255364,8/12/20
0.90698312,8/13/20
0.915225647,8/14/20
0.915365146,8/17/20
0.918550285,8/18/20
0.931659554,8/19/20
0.941864689,8/20/20
0.944862131,8/21/20
0.938269878,8/24/20
0.929847284,8/25/20
0.922401315,8/26/20
0.920882079,8/27/20
0.919140088,8/28/20
0.92176736,8/31/20
0.928301182,9/1/20
0.931853914,9/2/20
0.925787832,9/3/20
0.923610978,9/4/20
0.936076915,9/7/20
0.930599442,9/8/20
0.932129052,9/9/20
0.933801085,9/10/20
0.937285732,9/11/20
0.940461973,9/14/20
0.934981078,9/15/20
0.948305184,9/16/20
0.950841702,9/17/20
0.931560795,9/18/20
0.916682738,9/21/20
0.936024923,9/22/20
0.943415346,9/23/20
0.951883627,9/24/20
0.931899529,9/25/20
0.917267755,9/28/20
0.909878907,9/29/20
0.899102441,9/30/20
0.899535357,10/1/20
0.88042553,10/2/20
0.880677409,10/5/20
0.888196218,10/6/20
0.870097628,10/7/20
0.875138741,10/8/20
0.869773802,10/9/20
0.856396201,10/12/20
0.855751043,10/13/20
0.867662311,10/14/20
0.857173788,10/15/20
0.868853719,10/16/20
0.862532978,10/19/20
0.868666926,10/20/20
0.862315906,10/21/20
0.84929348,10/22/20
0.828178745,10/23/20
0.820802881,10/26/20
0.816807874,10/27/20
0.817052429,10/28/20
0.826465648,10/29/20
0.837274586,10/30/20
0.849898662,11/2/20
0.829428981,11/3/20
0.827452465,11/4/20
0.805658381,11/5/20
0.806279118,11/6/20
0.81667064,11/9/20
0.822648129,11/10/20
0.838938494,11/11/20
0.847944893,11/12/20
0.851701669,11/13/20
0.878949923,11/16/20
0.945947145,11/17/20
0.946665251,11/18/20
0.945008581,11/19/20
0.941890041,11/20/20
0.951294247,11/23/20
0.96449912,11/24/20
0.95408105,11/25/20
0.950992224,11/26/20
0.957725673,11/27/20
