name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,base_pts,season_pts,ppg,rec_pg,pass_yards_pg,rush_yards_pg,ypr,td_dependence,bbvor,p90,cv,skew,kurtosis
jared goff,QB,Jared Goff,DET,29.5,4025.5,0.0,0.0,0.0,2.0603379514445246,125.68061503811599,9.356188262638002,294.5939009498407,305.49744210688283,17.970437770993108,0.0,236.7941176470588,7.392977355183294,0.0,0.42672052115925097,67.66941054645662,346.5828513886851,0.4119109500277021,0.1253182256528819,-0.15007897721163754
caleb williams,QB,Caleb Williams,CHI,24.5,3613.0,0.0,0.0,0.0,2.2698847263867097,423.43993050915407,7.15700004158153,291.32630136765414,302.10890177740237,17.771111869258963,0.0,212.52941176470588,24.908231206420826,0.0,0.3694671282495435,67.21319937246659,343.9230229037383,0.42510768099194934,0.19905867489936924,-0.2544535438704103
brock purdy,QB,Brock Purdy,SF,27.5,3763.0,0.0,0.0,0.0,3.6495005334109205,224.0793327514305,12.043351760256037,292.78158471535255,303.6180482289384,17.859885189937554,0.0,221.35294117647058,13.181137220672383,0.0,0.4344175320599211,66.89901392059092,344.4465689613686,0.4185971034070235,0.0705167601219109,0.25001172773559244
jayden daniels,QB,Jayden Daniels,WAS,21.5,3200.5,0.0,0.0,0.0,4.5,575.5,7.9515527950310565,290.61844720496896,301.37484844029046,17.72793226119356,0.0,188.26470588235293,33.85294117647059,0.0,0.3749483428521342,66.83890634676273,341.5923812514375,0.42902557249019746,0.0793849317026645,-0.2878046796554523
dak prescott,QB,Dak Prescott,DAL,27.5,4000.5,0.0,0.0,0.0,1.8108365019011408,171.3051330798479,9.77851711026616,288.2370152091255,298.9052746272008,17.582663213364754,0.0,235.3235294117647,10.0767725341087,0.0,0.4043589366636354,66.36285800530872,338.91037266598454,0.4386895817287178,0.20325043757311542,-0.1430795238662208
quinshon judkins,RB,Quinshon Judkins,CLE,0.0,0.0,0.5985,171.0,26.0,6.5,888.0,0.0,174.491,178.9152090556433,10.524424062096664,1.5294117647058822,0.0,52.23529411764706,6.576923076923077,0.23805131058899545,66.02109436696237,217.85052903484305,0.6813715866769146,0.948308593963681,0.659887203811568
tyler warren,TE,Tyler Warren,IND,0.0,0.0,4.5,750.5,75.5,0.0,0.0,0.0,177.55,179.44843769025644,10.555790452368026,4.4411764705882355,0.0,0.0,9.940397350993377,0.15046104801761684,65.82502796979828,213.82437167284678,0.6132274833475411,1.0456619967886913,1.7681460397004036
malik willis,QB,Malik Willis,MIA,17.2112810707457,3000.5,0.0,0.0,0.0,6.576823575943326,618.2214161386727,5.943697377460665,284.20450997504935,294.7235178755475,17.33667752209103,0.0,176.5,36.36596565521604,0.0,0.3674836216646173,65.51362496585442,337.1840654162083,0.4548356013093023,0.13121174536619046,-0.33599081772285055
mike evans,WR,Mike Evans,SF,0.0,0.0,6.5,800.5,55.763799010277886,0.0,0.0,0.0,174.8137990102779,179.49036379743805,10.558256693966944,3.2802234711928167,0.0,0.0,14.3551912568306,0.2172818594540988,65.36814443164185,219.59036636502162,0.7093998826253652,0.9120400331234121,0.6176945963801099
rome odunze,WR,Rome Odunze,CHI,0.0,0.0,6.5,800.5,56.23584229390681,0.0,0.0,0.0,175.28584229390682,179.9750350372737,10.586766766898453,3.307990723170989,0.0,0.0,14.23469387755102,0.21669672125316108,65.10826293583081,219.72723049288925,0.7056608168844777,0.9204872188152821,0.6704305439981351
