name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,season_pts,ppg
jared goff,QB,Jared Goff,DET,29.5,4025.5,0.0,0.0,0.0,2.0603379514445246,125.68061503811599,9.356188262638002,294.5939009498407,17.329052997049452
javonte williams,RB,Javonte Williams,DAL,0.0,0.0,1.5077355836849509,268.0,44.666666666666664,9.5,938.0,0.0,231.3130801687764,13.606651774633905
jaxon smithnjigba,WR,Jaxon Smith-Njigba,SEA,0.0,0.0,8.5,1338.0,99.5,0.0,0.0,0.0,284.3,16.723529411764705
jaxson dart,QB,Jaxson Dart,NYG,19.5,3125.5,0.0,0.0,0.0,5.5,463.0,6.878301056338029,275.441698943662,16.20245287903894
jayden daniels,QB,Jayden Daniels,WAS,21.5,3200.5,0.0,0.0,0.0,4.5,575.5,7.9515527950310565,290.61844720496896,17.09520277676288
jayden higgins,WR,Jayden Higgins,HOU,0.0,0.0,5.3311615968009205,575.5,44.94380952380953,0.0,0.0,0.0,134.48077910461507,7.910634064977357
jayden reed,WR,Jayden Reed,GB,0.0,0.0,5.254442649434572,650.5,48.34087237479806,0.0,0.0,0.0,144.91752827140547,8.524560486553263
jaylen waddle,WR,Jaylen Waddle,DEN,0.0,0.0,5.5,913.0,66.38755622188906,0.0,0.0,0.0,190.68755622188905,11.216915071875826
jaylen warren,RB,Jaylen Warren,PIT,0.0,0.0,0.6666666666666666,337.6666666666667,46.333333333333336,2.992898357745229,613.0,0.0,163.3573901464714,9.609258243910082
jeremiyah love,RB,Jeremiyah Love,ARI,0.0,0.0,0.0,0.0,0.0,5.5,775.5,0.0,110.55000000000001,6.502941176470589
jerry jeudy,WR,Jerry Jeudy,CLE,0.0,0.0,2.47358453126378,550.5,41.25028968713789,0.0,0.0,0.0,111.14179687472057,6.537752757336504
jk dobbins,RB,J.K. Dobbins,DEN,0.0,0.0,0.315,90.0,15.0,5.5,688.0,0.0,127.69,7.511176470588235
joe burrow,QB,Joe Burrow,CIN,32.5,3950.5,0.0,0.0,0.0,0.8743913235945108,144.27456839309428,8.743913235945108,298.9498915449314,17.58528773793714
jonathan taylor,RB,Jonathan Taylor,IND,0.0,0.0,1.3333333333333333,222.33333333333334,27.666666666666668,11.5,1238.0,0.0,250.7,14.74705882352941
jordan addison,WR,Jordan Addison,MIN,0.0,0.0,4.5,650.5,47.51147746243739,0.0,0.0,0.0,139.56147746243738,8.209498674261022
jordan love,QB,Jordan Love,GB,24.5,3500.5,0.0,0.0,0.0,1.6014731448439932,169.43585872449447,8.968249611126362,255.60417513038703,15.035539713552179
jordan mason,RB,Jordan Mason,MIN,0.0,0.0,0.20183333333333336,57.66666666666667,9.333333333333334,4.452937820878494,650.5,0.0,108.07862692527095,6.357566289721821
josh allen,QB,Josh Allen,BUF,24.5,3600.5,0.0,0.0,0.0,10.5,500.5,10.458521999145665,344.61147800085433,20.27126341181496
josh downs,WR,Josh Downs,IND,0.0,0.0,3.9862149532710283,775.5,67.47511417485578,0.0,0.0,0.0,168.94240389448197,9.937788464381292
justin herbert,QB,Justin Herbert,LAC,25.5,3500.5,0.0,0.0,0.0,2.283431180691455,336.64299692479733,7.50270245084335,281.8821843257851,16.5813049603403
justin jefferson,WR,Justin Jefferson,MIN,0.0,0.0,7.5,1175.5,91.5,0.0,0.0,0.0,254.05,14.944117647058825
juwan johnson,TE,Juwan Johnson,NO,0.0,0.0,3.188365650969529,575.5,52.28919667590028,0.0,0.0,0.0,128.96939058171745,7.586434740101026
kc concepcion,WR,KC Concepcion,CLE,0.0,0.0,3.678,613.0,48.650793650793645,0.0,0.0,0.0,132.01879365079367,7.765811391223157
kenneth walker,RB,Kenneth Walker III,KC,0.0,0.0,0.6666666666666667,280.0,35.333333333333336,7.5,925.5,0.0,204.88333333333335,12.051960784313726
khalil shakir,WR,Khalil Shakir,BUF,0.0,0.0,2.907949790794979,625.5,54.378661087866114,0.0,0.0,0.0,134.37635983263598,7.90449175486094
kyle pitts,TE,Kyle Pitts,ATL,0.0,0.0,4.5,750.5,64.2212107419208,0.0,0.0,0.0,166.2712107419208,9.780659455407106
kyler murray,QB,Kyler Murray,MIN,16.790456745311555,3000.5,0.0,0.0,0.0,4.084165154264973,448.80437084089533,8.62212643678161,247.945128554144,14.585007562008471
kyren williams,RB,Kyren Williams,LAR,0.0,0.0,2.339979013641133,223.0,34.0,9.5,950.5,0.0,222.3898740818468,13.081757298932166
ladd mcconkey,WR,Ladd McConkey,LAC,0.0,0.0,5.5,888.0,72.5,0.0,0.0,0.0,194.3,11.429411764705883
lamar jackson,QB,Lamar Jackson,BAL,24.5,3225.5,0.0,0.0,0.0,3.5,550.5,6.389400396933636,296.68059960306636,17.45179997665096
luther burden,WR,Luther Burden III,CHI,0.0,0.0,4.5,850.5,64.5,0.0,0.0,0.0,176.55,10.38529411764706
makai lemon,WR,Makai Lemon,PHI,0.0,0.0,3.4530000000000003,575.5,45.67460317460317,0.0,0.0,0.0,123.94260317460318,7.290741363211952
malik willis,QB,Malik Willis,MIA,17.2112810707457,3000.5,0.0,0.0,0.0,6.576823575943326,618.2214161386727,5.943697377460665,284.20450997504935,16.71791235147349
mark andrews,TE,Mark Andrews,BAL,0.0,0.0,5.5,500.5,45.19463087248322,0.0,0.0,0.0,128.24463087248324,7.543801816028426
marvin harrison,WR,Marvin Harrison Jr.,ARI,0.0,0.0,5.5,825.5,56.95010046885466,0.0,0.0,0.0,172.50010046885467,10.14706473346204
matthew golden,WR,Matthew Golden,GB,0.0,0.0,2.922918687714966,650.5,52.25623268698061,0.0,0.0,0.0,134.8437448132704,7.931984989015906
matthew stafford,QB,Matthew Stafford,LAR,29.5,3838.0,0.0,0.0,0.0,0.6423406836722646,119.82665520215853,8.334083963326364,279.02262565892306,16.413095626995474
michael pittman,WR,Michael Pittman Jr.,PIT,0.0,0.0,4.5,725.5,63.12468772902368,0.0,0.0,0.0,162.67468772902367,9.569099278177863
michael wilson,WR,Michael Wilson,ARI,0.0,0.0,4.628126474752242,700.5,53.88461538461539,0.0,0.0,0.0,151.70337423312884,8.923727896066403
mike evans,WR,Mike Evans,SF,0.0,0.0,6.5,800.5,55.763799010277886,0.0,0.0,0.0,174.8137990102779,10.283164647663407
nico collins,WR,Nico Collins,HOU,0.0,0.0,6.5,1075.5,70.5,0.0,0.0,0.0,217.05,12.76764705882353
omar cooper,WR,Omar Cooper Jr.,NYJ,0.0,0.0,2.718,453.0,35.95238095238095,0.0,0.0,0.0,97.56038095238094,5.738845938375349
omarion hampton,RB,Omarion Hampton,LAC,0.0,0.0,1.0,192.0,32.0,7.5,925.5,0.0,194.75,11.455882352941176
parker washington,WR,Parker Washington,JAX,0.0,0.0,4.5,800.5,61.98173849525201,0.0,0.0,0.0,169.03173849525203,9.943043440897178
patrick mahomes,QB,Patrick Mahomes,KC,23.725209437510685,3700.5,0.0,0.0,0.0,2.2143528808343307,353.66378868182596,11.38810053000513,280.1852333732262,16.48148431607213
quentin johnston,WR,Quentin Johnston,LAC,0.0,0.0,5.5,650.5,49.90516782099095,0.0,0.0,0.0,147.95516782099094,8.703245165940643
quinshon judkins,RB,Quinshon Judkins,CLE,0.0,0.0,0.5985,171.0,26.0,6.5,888.0,0.0,174.491,10.264176470588236
rashid shaheed,WR,Rashid Shaheed,SEA,0.0,0.0,2.851851851851852,500.5,35.64814814814815,0.0,0.0,0.0,102.80925925925928,6.047603485838781
rhamondre stevenson,RB,Rhamondre Stevenson,NE,0.0,0.0,1.0,250.33333333333334,34.333333333333336,5.5,613.0,0.0,159.66666666666669,9.392156862745098
rico dowdle,RB,Rico Dowdle,PIT,0.0,0.0,2.0000000000000004,230.00000000000003,31.666666666666668,4.5,700.5,0.0,163.71666666666667,9.630392156862746
rome odunze,WR,Rome Odunze,CHI,0.0,0.0,6.5,800.5,56.23584229390681,0.0,0.0,0.0,175.28584229390682,10.310931899641577
romeo doubs,WR,Romeo Doubs,NE,0.0,0.0,4.5,650.5,52.06603301650825,0.0,0.0,0.0,144.11603301650825,8.477413706853426
sam darnold,QB,Sam Darnold,SEA,23.5,3625.5,0.0,0.0,0.0,0.8369113573407202,134.74272853185596,11.298303324099724,246.2174376731302,14.483378686654717
sam laporta,TE,Sam LaPorta,DET,0.0,0.0,4.5,650.5,57.50617870722433,0.0,0.0,0.0,149.55617870722432,8.797422276895547
saquon barkley,RB,Saquon Barkley,PHI,0.0,0.0,2.666666666666667,277.0,37.0,7.5,1063.0,0.0,232.0,13.647058823529411
tee higgins,WR,Tee Higgins,CIN,0.0,0.0,7.5,863.0,65.5,0.0,0.0,0.0,196.8,11.576470588235296
terry mclaurin,WR,Terry McLaurin,WAS,0.0,0.0,5.5,900.5,66.86548507462686,0.0,0.0,0.0,189.91548507462687,11.171499122036876
tetairoa mcmilan,WR,Tetairoa McMilan,CAR,0.0,0.0,6.5,950.5,70.5,0.0,0.0,0.0,204.55,12.032352941176471
tetairoa mcmillan,WR,Tetairoa McMillan,CAR,0.0,0.0,6.5616370808678495,950.5,65.6163708086785,0.0,0.0,0.0,200.0361932938856,11.76683489964033
tony pollard,RB,Tony Pollard,TEN,0.0,0.0,0.903,258.0,43.0,5.5,788.0,0.0,186.01800000000003,10.94223529411765
travis etienne,RB,Travis Etienne Jr.,NO,0.0,0.0,2.3333333333333335,340.6666666666667,44.333333333333336,5.0,838.0,0.0,206.20000000000002,12.129411764705884
travis kelce,TE,Travis Kelce,KC,0.0,0.0,4.5,663.0,66.08045053885374,0.0,0.0,0.0,159.38045053885372,9.375320619932571
tre tucker,WR,Tre Tucker,LV,0.0,0.0,3.674968071519796,575.5,45.202107279693486,0.0,0.0,0.0,124.80191570881226,7.341289159341898
treveyon henderson,RB,TreVeyon Henderson,NE,0.0,0.0,1.0,221.0,35.0,6.0,700.5,0.0,169.15,9.950000000000001
trevor lawrence,QB,Trevor Lawrence,JAX,25.5,3750.5,0.0,0.0,0.0,5.758789777765813,304.3462951926897,12.119230449122865,304.888137736741,17.934596337455353
trey mcbride,TE,Trey McBride,ARI,0.0,0.0,6.5,950.5,98.5,0.0,0.0,0.0,232.55,13.679411764705883
tucker kraft,TE,Tucker Kraft,GB,0.0,0.0,5.5,700.5,53.25927120358598,0.0,0.0,0.0,156.30927120358598,9.194663011975646
tyler shough,QB,Tyler Shough,NO,19.5,3450.5,0.0,0.0,0.0,4.342072147651007,269.2084731543624,8.684144295302012,260.3091359060403,15.312302112120017
tyler warren,TE,Tyler Warren,IND,0.0,0.0,4.5,750.5,75.5,0.0,0.0,0.0,177.55,10.444117647058825
wandale robinson,WR,Wan'Dale Robinson,TEN,0.0,0.0,3.147585765940559,700.5,60.949474506107634,0.0,0.0,0.0,149.88498910175096,8.81676406480888
xavier worthy,WR,Xavier Worthy,KC,0.0,0.0,3.8918803418803423,650.5,56.154273504273505,0.0,0.0,0.0,144.55555555555554,8.50326797385621
zay flowers,WR,Zay Flowers,BAL,0.0,0.0,5.5,988.0,75.5,0.0,0.0,0.0,207.3,12.194117647058825
